safe_instance_id,past_tense_verb_rate,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_compound,pov_first_rate,pov_second_rate,pov_third_rate,pov_dominant,concreteness_mean,concreteness_coverage,temporal_mention_rate,temporal_mention_count
inst_be61a34fbef23dd3_75,0.0,0.113,0.0,0.887,0.5707,0.0,0.0,0.0,none,4.1241,0.9565,0.019608,1
inst_8b34d14516121dab_76,0.094828,0.054,0.129,0.817,-0.8437,0.094828,0.0,0.017241,first,3.3954,0.9811,0.017241,2
inst_9f57d7ce389989b1_77,0.147368,0.122,0.032,0.846,0.8328,0.052632,0.010526,0.021053,first,2.9432,1.0,0.0,0
inst_2e2c8a0b5d8c95ec_78,0.046875,0.124,0.0,0.876,0.7501,0.09375,0.0,0.015625,first,2.5016,1.0,0.03125,2
inst_467eb59713414a17_79,0.102041,0.101,0.069,0.829,0.5477,0.0,0.0,0.040816,third,3.6621,1.0,0.0,0
inst_1bba9ce9ecaefcf6_80,0.0625,0.189,0.074,0.737,0.6705,0.020833,0.0,0.041667,third,2.9732,0.9259,0.0,0
inst_c028c8673e04ed05_81,0.075758,0.036,0.02,0.944,0.2263,0.0,0.0,0.060606,third,3.24,0.9,0.0,0
inst_f94166ceba513c2e_82,0.051282,0.0,0.0,1.0,0.0,0.051282,0.0,0.012821,first,3.4819,0.9545,0.064103,5
inst_c443e49cb03378b4_83,0.051724,0.18,0.032,0.788,0.8467,0.0,0.086207,0.034483,second,3.1472,1.0,0.034483,2
inst_8f283d884eabb662_84,0.013699,0.101,0.0,0.899,0.9073,0.0,0.0,0.0,none,3.2037,0.95,0.041096,6
inst_92763aa6780c5912_85,0.011628,0.055,0.008,0.937,0.7939,0.023256,0.005814,0.011628,first,3.6103,0.96,0.0,0
inst_5935d489f872f4f4_86,0.095745,0.084,0.064,0.852,0.4215,0.095745,0.0,0.031915,first,2.9611,0.9474,0.031915,3
inst_390d3ec0ca2022dd_87,0.025316,0.03,0.0,0.97,0.2732,0.0,0.0,0.0,none,2.6253,1.0,0.0,0
